id,type,name,classification
10000000,region,Region I (Ilocos Region),
12800000,province,Ilocos Norte,
12801000,municipality,Adams,
12801001,barangay,Adams (Pob.),rural
12802000,municipality,Bacarra,
12802001,barangay,Bani,rural
12802002,barangay,Buyon,rural
12802003,barangay,Cabaruan,rural
12802004,barangay,Cabulalaan,rural
12802005,barangay,Cabusligan,rural
12802006,barangay,Cadaratan,rural
12802007,barangay,Calioet-Libong,rural
12802008,barangay,Casilian,rural
12802009,barangay,Corocor,rural
12802011,barangay,Duripes,rural
12802012,barangay,Ganagan,rural
12802013,barangay,Libtong,rural
12802014,barangay,Macupit,rural
12802015,barangay,Nambaran,rural
12802016,barangay,Natba,rural
12802017,barangay,Paninaan,rural
12802018,barangay,Pasiocan,rural
12802019,barangay,Pasngal,rural
12802020,barangay,Pipias,rural
12802021,barangay,Pulangi,rural
12802022,barangay,Pungto,rural
12802024,barangay,San Agustin I (Pob.),rural
12802025,barangay,San Agustin II (Pob.),rural
12802027,barangay,San Andres I (Pob.),rural
12802028,barangay,San Andres II (Pob.),rural
12802030,barangay,San Gabriel I (Pob.),rural
12802031,barangay,San Gabriel II (Pob.),rural
12802033,barangay,San Pedro I (Pob.),rural
12802034,barangay,San Pedro II (Pob.),rural
12802036,barangay,San Roque I (Pob.),rural
12802037,barangay,San Roque II (Pob.),rural
12802039,barangay,San Simon I (Pob.),rural
12802040,barangay,San Simon II (Pob.),rural
12802041,barangay,San Vicente (Pob.),rural
12802042,barangay,Sangil,rural
12802044,barangay,Santa Filomena I (Pob.),rural
12802045,barangay,Santa Filomena II (Pob.),rural
12802046,barangay,Santa Rita (Pob.),urban
12802047,barangay,Santo Cristo I (Pob.),rural
12802048,barangay,Santo Cristo II (Pob.),rural
12802050,barangay,Tambidao,rural
12802051,barangay,Teppang,rural
12802052,barangay,Tubburan,rural
12803000,municipality,Badoc,
12803001,barangay,Alay-Nangbabaan (Alay 15-B),rural
12803002,barangay,Alogoog,urban
12803003,barangay,Ar-arusip,rural
12803004,barangay,Aring,rural
12803005,barangay,Balbaldez,rural
12803006,barangay,Bato,rural
12803007,barangay,Camanga,rural
12803008,barangay,Canaan (Pob.),rural
12803009,barangay,Caraitan,rural
12803011,barangay,Gabut Norte,rural
12803012,barangay,Gabut Sur,rural
12803013,barangay,Garreta (Pob.),urban
12803016,barangay,Labut,rural
12803017,barangay,Lacuben,rural
12803018,barangay,Lubigan,rural
12803020,barangay,Mabusag Norte,rural
12803021,barangay,Mabusag Sur,rural
12803022,barangay,Madupayas,rural
12803023,barangay,Morong,rural
12803025,barangay,Nagrebcan,rural
12803026,barangay,Napu,rural
12803027,barangay,La Virgen Milagrosa (Paguetpet),rural
12803028,barangay,Pagsanahan Norte,rural
12803029,barangay,Pagsanahan Sur,rural
12803030,barangay,Paltit,rural
12803031,barangay,Parang,rural
12803032,barangay,Pasuc,rural
12803034,barangay,Santa Cruz Norte,rural
12803035,barangay,Santa Cruz Sur,rural
12803036,barangay,Saud,rural
12803037,barangay,Turod,rural
12804000,municipality,Bangui,
12804001,barangay,Abaca,rural
12804002,barangay,Bacsil,rural
12804003,barangay,Banban,rural
12804004,barangay,Baruyen,rural
12804005,barangay,Dadaor,rural
12804006,barangay,Lanao,urban
12804007,barangay,Malasin,rural
12804008,barangay,Manayon,rural
12804009,barangay,Masikil,rural
12804010,barangay,Nagbalagan,rural
12804011,barangay,Payac,rural
12804012,barangay,San Lorenzo (Pob.),urban
12804014,barangay,Taguiporo,rural
12804015,barangay,Utol,rural
12805000,municipality,City Of Batac,
12805001,barangay,Aglipay (Pob.),rural
12805002,barangay,Baay,urban
12805003,barangay,Baligat,rural
12805004,barangay,Bungon,rural
12805005,barangay,Baoa East,rural
12805006,barangay,Baoa West,rural
12805007,barangay,Barani (Pob.),rural
12805009,barangay,Ben-agan (Pob.),rural
12805010,barangay,Bil-loca,rural
12805011,barangay,Biningan,rural
12805012,barangay,Callaguip (Pob.),rural
12805013,barangay,Camandingan,rural
12805014,barangay,Camguidan,rural
12805015,barangay,Cangrunaan (Pob.),rural
12805016,barangay,Capacuan,rural
12805017,barangay,Caunayan (Pob.),rural
12805018,barangay,Valdez Pob. (Caoayan),urban
12805019,barangay,Colo,rural
12805020,barangay,Pimentel (Cubol),rural
12805021,barangay,Dariwdiw,rural
12805022,barangay,Acosta Pob. (Iloilo),rural
12805023,barangay,Ablan Pob. (Labucao),rural
12805024,barangay,Lacub (Pob.),rural
12805025,barangay,Mabaleng,rural
12805026,barangay,Magnuang,rural
12805027,barangay,Maipalig,rural
12805028,barangay,Nagbacalan,rural
12805029,barangay,Naguirangan,rural
12805030,barangay,Ricarte Pob. (Nalasin),urban
12805031,barangay,Palongpong,rural
12805032,barangay,Palpalicong (Pob.),rural
12805033,barangay,Parangopong,rural
12805034,barangay,Payao,rural
12805035,barangay,Quiling Norte,rural
12805036,barangay,Quiling Sur,rural
12805037,barangay,Quiom,rural
12805038,barangay,Rayuray,rural
12805039,barangay,San Julian (Pob.),rural
12805040,barangay,San Mateo,rural
12805041,barangay,San Pedro,rural
12805042,barangay,Suabit (Pob.),rural
12805043,barangay,Sumader,rural
12805044,barangay,Tabug,rural
12806000,municipality,Burgos,
12806001,barangay,Ablan Sarat,rural
12806002,barangay,Agaga,rural
12806005,barangay,Bayog,rural
12806006,barangay,Bobon,rural
12806007,barangay,Buduan (Malituek),rural
12806008,barangay,Nagsurot,rural
12806009,barangay,Paayas,rural
12806010,barangay,Pagali,rural
12806011,barangay,Poblacion,urban
12806013,barangay,Saoit,rural
12806014,barangay,Tanap,rural
12807000,municipality,Carasi,
12807001,barangay,Angset,rural
12807003,barangay,Barbaqueso (Pob.),rural
12807004,barangay,Virbira,rural
12808000,municipality,Currimao,
12808001,barangay,Anggapang Norte,rural
12808002,barangay,Anggapang Sur,rural
12808003,barangay,Bimmanga,rural
12808004,barangay,Cabuusan,rural
12808005,barangay,Comcomloong,rural
12808006,barangay,Gaang,rural
12808007,barangay,Lang-ayan-Baramban,rural
12808008,barangay,Lioes,rural
12808009,barangay,Maglaoi Centro,rural
12808010,barangay,Maglaoi Norte,rural
12808011,barangay,Maglaoi Sur,rural
12808013,barangay,Paguludan-Salindeg,rural
12808014,barangay,Pangil,rural
12808015,barangay,Pias Norte,rural
12808016,barangay,Pias Sur,rural
12808017,barangay,Poblacion I,urban
12808018,barangay,Poblacion II,rural
12808019,barangay,Salugan,rural
12808020,barangay,San Simeon,rural
12808021,barangay,Santa Cruz,rural
12808022,barangay,Tapao-Tigue,rural
12808023,barangay,Torre,rural
12808024,barangay,Victoria,rural
12809000,municipality,Dingras,
12809001,barangay,Albano (Pob.),urban
12809002,barangay,Bacsil,rural
12809003,barangay,Bagut,rural
12809004,barangay,Parado (Bangay),rural
12809005,barangay,Baresbes,rural
12809006,barangay,Barong,rural
12809007,barangay,Bungcag,rural
12809009,barangay,Cali,rural
12809010,barangay,Capasan,rural
12809011,barangay,Dancel (Pob.),rural
12809012,barangay,Foz,rural
12809013,barangay,Guerrero (Pob.),rural
12809014,barangay,Lanas,rural
