"way_id","k","v"
1,"source","OpenRoads"
1,"rd_cond","poor"
1,"or_mun","Antequera"
1,"name","MAG-ASO VIGA RD"
1,"or_brgy","Mag-Aso"
1,"or_responsibility","barangay"
1,"highway","unclassified"
26,"source","OpenRoads"
26,"rd_cond","fair"
26,"or_mun","Antequera"
26,"name","BANTOLINAO ANGILAN RD."
26,"or_brgy","Bantolinao"
26,"or_responsibility","barangay"
26,"highway","unclassified"
29,"source","OpenRoads"
29,"rd_cond","poor"
29,"or_mun","Antequera"
29,"name","BANTOLINAO ANGILAN RD."
29,"or_brgy","Bantolinao"
29,"or_responsibility","barangay"
29,"highway","unclassified"
38,"source","OpenRoads"
38,"rd_cond","bad"
38,"or_mun","Antequera"
38,"name","STO. ROSARIO INAMBACAN RD."
38,"or_brgy","Sto. Rosario"
38,"or_responsibility","barangay"
38,"highway","unclassified"
66,"source","OpenRoads"
66,"rd_cond","poor"
66,"or_mun","Antequera"
66,"name","BUNGAHAN TUPAS RD."
66,"or_brgy","Tupas"
66,"or_responsibility","barangay"
66,"highway","unclassified"
143,"source","OpenRoads"
143,"rd_cond","bad"
143,"or_mun","Antequera"
143,"name","OBUJAN CANCAAY RD"
143,"or_brgy","Obujan"
143,"or_responsibility","barangay"
143,"highway","unclassified"
227,"source","OpenRoads"
227,"rd_cond","bad"
227,"or_mun","Antequera"
227,"name","OBUJAN CANDAVID RD"
227,"or_brgy","Obujan"
227,"or_responsibility","barangay"
227,"highway","unclassified"
234,"source","OpenRoads"
234,"rd_cond","poor"
234,"or_mun","Antequera"
234,"name","OBUJAN TINIBGAN RD"
234,"or_brgy","Obujan"
234,"or_responsibility","barangay"
234,"highway","unclassified"
298,"source","OpenRoads"
298,"rd_cond","poor"
298,"or_mun","Antequera"
298,"name","OBUJAN TINIBGAN RD"
298,"or_brgy","Obujan"
298,"or_responsibility","barangay"
298,"highway","unclassified"
301,"source","OpenRoads"
301,"rd_cond","poor"
301,"or_mun","Antequera"
301,"name","BITAUGAN BRACONG RD."
301,"or_brgy","Bitaugan"
301,"or_responsibility","barangay"
301,"highway","unclassified"
318,"source","OpenRoads"
318,"rd_cond","poor"
318,"or_mun","Antequera"
318,"name","BITAUGAN BRACONG RD"
318,"or_brgy","Bitaugan"
318,"or_responsibility","barangay"
318,"highway","unclassified"
326,"source","OpenRoads"
326,"rd_cond","poor"
326,"or_mun","Antequera"
326,"name","BITAUGAN RD."
326,"or_brgy","Bitaugan"
326,"or_responsibility","barangay"
326,"highway","unclassified"
330,"source","OpenRoads"
330,"rd_cond","poor"
330,"or_mun","Antequera"
330,"name","BITAUGAN RD."
330,"or_brgy","Bitaugan"
330,"or_responsibility","barangay"
330,"highway","unclassified"
349,"source","OpenRoads"
349,"rd_cond","poor"
349,"or_mun","Antequera"
349,"name","BITAUGAN RD."
349,"or_brgy","Bitaugan"
349,"or_responsibility","barangay"
349,"highway","unclassified"
362,"source","OpenRoads"
362,"rd_cond","good"
362,"or_mun","Antequera"
362,"name","CELING RD."
362,"or_brgy","Celing"
362,"or_responsibility","barangay"
362,"highway","unclassified"
371,"source","OpenRoads"
371,"rd_cond","poor"
371,"or_mun","Antequera"
371,"name","CELING RD."
371,"or_brgy","Celing"
371,"or_responsibility","barangay"
371,"highway","unclassified"
386,"source","OpenRoads"
386,"rd_cond","good"
386,"or_mun","Antequera"
386,"name","CELING RD."
386,"or_brgy","Celing"
386,"or_responsibility","barangay"
386,"highway","unclassified"
390,"source","OpenRoads"
390,"rd_cond","poor"
390,"or_mun","Antequera"
390,"name","CELING DANICOP RD."
390,"or_brgy","Celing"
390,"or_responsibility","barangay"
390,"highway","unclassified"
414,"source","OpenRoads"
414,"rd_cond","poor"
414,"or_mun","Antequera"
414,"name","DANICOP CELING RD."
414,"or_brgy","Danicop"
414,"or_responsibility","barangay"
414,"highway","unclassified"
425,"source","OpenRoads"
425,"rd_cond","fair"
425,"or_mun","Antequera"
425,"name","DANICOP CANLAAS RD"
425,"or_brgy","Danicop"
425,"or_responsibility","barangay"
425,"highway","unclassified"
531,"source","OpenRoads"
531,"rd_cond","poor"
531,"or_mun","Antequera"
531,"name","DANICOP DANAO RD."
531,"or_brgy","Danicop"
531,"or_responsibility","barangay"
531,"highway","unclassified"
616,"source","OpenRoads"
616,"rd_cond","poor"
616,"or_mun","Antequera"
616,"name","DANAO RD."
616,"or_brgy","Danao"
616,"or_responsibility","barangay"
616,"highway","unclassified"
688,"source","OpenRoads"
688,"rd_cond","good"
688,"or_mun","Antequera"
688,"name","DANAO CIRCUMFERENTIAL RD."
688,"or_brgy","Danao"
688,"or_responsibility","barangay"
688,"highway","unclassified"
718,"source","OpenRoads"
718,"rd_cond","poor"
718,"or_mun","Antequera"
718,"name","DANAO CIRCUMFERENTIAL RD."
718,"or_brgy","Danao"
718,"or_responsibility","barangay"
718,"highway","unclassified"
750,"source","OpenRoads"
750,"rd_cond","poor"
750,"or_mun","Antequera"
750,"name","DANAO RD."
750,"or_brgy","Danao"
750,"or_responsibility","barangay"
750,"highway","unclassified"
787,"source","OpenRoads"
787,"rd_cond","poor"
787,"or_mun","Antequera"
787,"name","DANAO CIRCUMFERENTIAL RD."
787,"or_brgy","Danao"
787,"or_responsibility","barangay"
787,"highway","unclassified"
831,"source","OpenRoads"
831,"rd_cond","poor"
831,"or_mun","Antequera"
831,"name","DANAO RD."
831,"or_brgy","Danao"
831,"or_responsibility","barangay"
831,"highway","unclassified"
869,"source","OpenRoads"
869,"rd_cond","poor"
869,"or_mun","Antequera"
869,"name","DANAO CIRCUMFERENTIAL RD."
869,"or_brgy","Danao"
869,"or_responsibility","barangay"
869,"highway","unclassified"
903,"source","OpenRoads"
903,"rd_cond","fair"
903,"or_mun","Antequera"
903,"name","ANTEQUERA SAN ISIDRO RD."
903,"or_brgy","Tabuan"
903,"or_responsibility","national"
903,"highway","primary"
934,"source","OpenRoads"
